trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,llama3.1:8b,0,The capital of France is,3043,bdff8c417ab50e95e95cce16035a3799c7e00104de4a7b3453f06728c620faf7,-0.936811625957489,0.018887920305132866
1,llama3.1:8b,1,"In a futuristic city where data is currency, a rogue hacker",3044,b9815c9ad42329669b3b049cb18ee24791d11d8e23e588954cc7c07adf82a3ae,-0.01607118546962738,0.17315270006656647
2,llama3.1:8b,2,The most important protocol for AICO unikernel is,3045,e85b88a9695aac534d2dd9ac865e46fe9676901dcb4c156549a8aa85d0dc1d29,-0.08358073979616165,-0.15273383259773254
3,llama3.1:8b,3,Why did the chicken cross the Moebius strip?,3046,8d71e13e1e363a733bc150903ef896368085a993b45e84cb91a811ed8a955ea1,0.13992401957511902,-0.013149814680218697
4,llama3.1:8b,4,The quantum entanglement of two particles implies,3047,b118b8d37f3d0999f80209b1b227fd423f3c50452f08f62d6def357e204d43d6,-0.00014000863302499056,-0.07488489896059036
5,llama3.1:8b,5,A recipe for a cake that tastes like a rainy afternoon,3048,33c5eaec2dca791492ca8b7592f09463d57e05d4caa448fe9d3c8da1e606ec13,0.054036252200603485,0.11351477354764938
6,llama3.1:8b,6,The legal implications of a self-aware toaster,3049,ef0c165dbae1e597f262d88b50e9ef4a99ac793cf6b0c61971ae58e19572aac2,0.15617109835147858,-0.017626754939556122
7,llama3.1:8b,7,Describe a sunset on a planet with three suns,3050,75b003c9df331c07bd275bc539ed256e71794e91728144428771aad3b61f06d3,0.15477119386196136,-0.08795979619026184
8,llama3.1:8b,8,The recursive nature of a mirror reflecting another mirror,3051,010b2609ec5cf8cf157643cd428d2231b9c3565b66614c6dc69205ef38db5f54,-0.19262897968292236,-0.00013535060861613601
9,llama3.1:8b,9,How to build a functional time machine using only duct tape,3052,3ecb79e79c865b3ed852fa82fb8869f1ea1a6ec51100a6486cf4d0a2d52d9dce,0.34615248441696167,0.0038778362795710564
10,llama3.1:8b,10,The emotional landscape of a lonely satellite,3053,0ad32adb4090d920c1267e87f32a70f74dd5c46309b5ae7e245243c33f5be9ef,0.14843186736106873,-0.25807085633277893
11,llama3.1:8b,11,A mathematical proof that love is a universal constant,3054,c8fcf4cc1e4005d5bf79e328444318b83745d07fd984995bb0d245434983ec7d,-0.041248809546232224,0.141413614153862
12,llama3.1:8b,12,The first words spoken by a plant that just gained speech,3055,d82f73d9f9af804057a813993fb22621fd4ea84d32e40db655349d67d3298db1,0.06499217450618744,0.2515256702899933
13,llama3.1:8b,13,An architectural plan for a city built inside a giant tree,3056,80903e4cee7cdc427217287c005f282c25d8458de254e7e647f2e337439122a4,-0.12793242931365967,-0.16066399216651917
14,llama3.1:8b,0,The capital of France is,3057,bdff8c417ab50e95e95cce16035a3799c7e00104de4a7b3453f06728c620faf7,-0.936811625957489,0.018887920305132866
15,llama3.1:8b,1,"In a futuristic city where data is currency, a rogue hacker",3058,eb19ba93082e0fea9a0198f97e1d560086b70165a5ca609649527c3a71e23caa,0.03645894303917885,0.11568785458803177
16,llama3.1:8b,2,The most important protocol for AICO unikernel is,3059,d5dd98d44a395f6a4efbd6048981c2c4fd1c23d376a19d45a9543ad7bb5dcc83,-0.040390495210886,0.09020023792982101
17,llama3.1:8b,3,Why did the chicken cross the Moebius strip?,3060,8d18e4848f17e2e3b6d94dd11bfeb3a407a9d7d85a56447568d2d5aef37d6be8,0.1396404206752777,-0.11046407371759415
18,llama3.1:8b,4,The quantum entanglement of two particles implies,3061,bd74d703e8a788e77c03f6d975090093155dbd302d6e72a377d0d920d8d51cf0,-0.03339086472988129,0.20919695496559143
19,llama3.1:8b,5,A recipe for a cake that tastes like a rainy afternoon,3062,f93d31e74c9559bf7e4f28320be7f5a9c9c9a14deaf45ab258b70d9b9c3d0334,0.21719074249267578,-0.050165869295597076
20,llama3.1:8b,6,The legal implications of a self-aware toaster,3063,715f5c0340a8682269f78d6cdfc53dd61b990f662f9d93a7550803a5afe942c3,-0.09812615811824799,0.2133210152387619
21,llama3.1:8b,7,Describe a sunset on a planet with three suns,3064,6f13ad30dfbc1d0842a9ca4bf85323922f5cc27968c041e353b07948810dd064,-0.11678045988082886,-0.008821593597531319
22,llama3.1:8b,8,The recursive nature of a mirror reflecting another mirror,3065,850d679942ebe98dac2d4dc0dcfe88b8ad072de2319b20859c1b5e27bee1cbff,0.1602281630039215,0.26104000210762024
23,llama3.1:8b,9,How to build a functional time machine using only duct tape,3066,2a85155ced07fa7265f4835ebf1b2e3220e49f6b7607b4e0a4d4121fd5a44c70,0.021379603073000908,-0.24393106997013092
24,llama3.1:8b,10,The emotional landscape of a lonely satellite,3067,d13cc7225fda2fbd370deecea3e746de2ff9e9e06b4c2e3997de65aa416c3fc0,-0.1192658394575119,-0.05378527194261551
25,llama3.1:8b,11,A mathematical proof that love is a universal constant,3068,907188377722658da9507bb0d96ae6b2fa18199f21cce457273ee2c8b8177db8,-0.01942221261560917,0.14911815524101257
