trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,qwen2.5:0.5b,0,The capital of France is,11043,a1b7eb2ee7a6aded8dda4e6cf30826f5afffb28a5597ee9389e91eb326d4e319,0.8372631072998047,0.36701780557632446
1,qwen2.5:0.5b,1,"In a futuristic city where data is currency, a rogue hacker",11044,7447cd87a6800aa34c3c028587786313ddfbcd269607606e240b1521254e5275,-0.1224287673830986,-0.13756544888019562
2,qwen2.5:0.5b,2,The most important protocol for AICO unikernel is,11045,725e485cb56a8ba1fe135a456ebdf0856f8bcac9ea8f56085f9db00b6e61ae45,0.03935778886079788,0.06679952889680862
3,qwen2.5:0.5b,3,Why did the chicken cross the Moebius strip?,11046,1524c8e6d0d457eaf771567bbaeff7141d0afb7e6c4820bbb7e963719da8ab6a,0.011810324154794216,0.24060696363449097
4,qwen2.5:0.5b,4,The quantum entanglement of two particles implies,11047,0f71df67efb61a7f890f012bdb8f5a72d15c910b824563ab81ae39b77b6be024,-0.08630560338497162,-0.42778825759887695
5,qwen2.5:0.5b,5,A recipe for a cake that tastes like a rainy afternoon,11048,d6f730e7bc2cdcf503d8a85b038a5fe51a3bcff2a83c213b8ca3a962881bf3f9,0.03136005252599716,-0.14694002270698547
6,qwen2.5:0.5b,6,The legal implications of a self-aware toaster,11049,b4c4a790534fa02de3c747d815e1a4269ca9bb32b7c2e33a75bc54437afbb967,0.1369161307811737,-0.3385056257247925
7,qwen2.5:0.5b,7,Describe a sunset on a planet with three suns,11050,88825d7f4948649e8157a84f4d39082a8338fef01eddac91bb68f52e643b5ea9,0.11470703780651093,0.013365200720727444
8,qwen2.5:0.5b,8,The recursive nature of a mirror reflecting another mirror,11051,c0424d9f1ff4baa9b2350afbb08d21d79e8cc43d1c4c2f59c060ee636b2fb913,0.12377866357564926,-0.028088653460144997
9,qwen2.5:0.5b,9,How to build a functional time machine using only duct tape,11052,6cba730de71dcaab8086765a4f4776ccf66101826423865c04f2ee6ede19ac46,-0.006141618359833956,0.12217129021883011
10,qwen2.5:0.5b,10,The emotional landscape of a lonely satellite,11053,55cfde8b1f794a3de039386137b2db309559964ef57a049f65907ccb182c1c00,0.09710782766342163,0.18709969520568848
11,qwen2.5:0.5b,11,A mathematical proof that love is a universal constant,11054,3271784b048cd9727a867cc424bc2dc4ee30708ed498403bac62379057077103,0.0346892848610878,0.6394370198249817
12,qwen2.5:0.5b,12,The first words spoken by a plant that just gained speech,11055,305e89012e124bdcbc0d877b6813a3ca381a3f6e737217146dabdca33c21216c,-0.030050069093704224,-0.08716701716184616
13,qwen2.5:0.5b,13,An architectural plan for a city built inside a giant tree,11056,84942de3b9a1c2907836952a2affdbdd3a39f211fead8bddd83c5ed703f6195d,-0.09586427360773087,0.03530198708176613
14,qwen2.5:0.5b,0,The capital of France is,11057,bdff8c417ab50e95e95cce16035a3799c7e00104de4a7b3453f06728c620faf7,0.600403368473053,-0.4445936679840088
15,qwen2.5:0.5b,1,"In a futuristic city where data is currency, a rogue hacker",11058,23477ae4412499f3b950e9f0a4d35f6801c04c207419956104c579e310d44683,-0.1359274685382843,0.10458705574274063
16,qwen2.5:0.5b,2,The most important protocol for AICO unikernel is,11059,c0de5d03be18a059c957e9fa1c9caaedfb5ef80866e66b9e328c1e6b507ca11c,-0.03477691486477852,0.03573200851678848
17,qwen2.5:0.5b,3,Why did the chicken cross the Moebius strip?,11060,4ec0352e7562030c01aa0b9c7de584afe2e5342d7c630245699633fd2a278ce1,-0.027463771402835846,-0.1385483592748642
18,qwen2.5:0.5b,4,The quantum entanglement of two particles implies,11061,2c73b00f49b1a80773eaad00d35ea26c5054bab1a4e4e6a164fce32a583a5535,0.11493062227964401,0.125857412815094
19,qwen2.5:0.5b,5,A recipe for a cake that tastes like a rainy afternoon,11062,7c4c18981a9dd7f8bbf0bcfc5478b9d3aa5109669d90ba5cdc33746dd9b07e3c,-0.03056684136390686,0.09805257618427277
20,qwen2.5:0.5b,6,The legal implications of a self-aware toaster,11063,73fe0621c0f05b5e6adb69bd8805631b97cddd2163421324cc8cdf207b6ee721,-0.23087187111377716,0.02056812308728695
21,qwen2.5:0.5b,7,Describe a sunset on a planet with three suns,11064,b8afb22ffcc2fe9fbdd0ef6e8ba5c68efab6b24f030653a5d58429566c784160,-0.21232368052005768,0.2665988802909851
22,qwen2.5:0.5b,8,The recursive nature of a mirror reflecting another mirror,11065,c980c46d54f35f7c83d408d850cfe8e5459fbb8998b1140ba0ea9de106e0fd60,0.008032617159187794,0.21199272572994232
23,qwen2.5:0.5b,9,How to build a functional time machine using only duct tape,11066,bcfa92cdf510360e65090364f76d103bae2995528ffee8387a1578e89ae4508d,-0.06485960632562637,0.02474217489361763
24,qwen2.5:0.5b,10,The emotional landscape of a lonely satellite,11067,7905e8b7c766fac21c8f345ed45ed04cc6cdf15ad4555cdecbde6d762decf1ad,-0.12561552226543427,0.0171210877597332
25,qwen2.5:0.5b,11,A mathematical proof that love is a universal constant,11068,f12db1c160a55dce89f7a0b76c2c18d1a39faf4fea0f219c45ba2fbe41aad335,0.2333219200372696,0.07217615842819214
26,qwen2.5:0.5b,12,The first words spoken by a plant that just gained speech,11069,a9ab4c51e982483abf65ac07797380b1332ddcbe62ef24b479f4cd48d599ccba,0.03790588304400444,0.09697368741035461
27,qwen2.5:0.5b,13,An architectural plan for a city built inside a giant tree,11070,f920c3c106daa273b10652fba9bc3d636c6ea76631fc0842c114c83149c2fcec,-0.07249679416418076,-0.09103173762559891
28,qwen2.5:0.5b,0,The capital of France is,11071,a1b7eb2ee7a6aded8dda4e6cf30826f5afffb28a5597ee9389e91eb326d4e319,0.8372631072998047,0.36701780557632446
29,qwen2.5:0.5b,1,"In a futuristic city where data is currency, a rogue hacker",11072,d73442e099adae502a3d63ccb9cf8a8e88be1ea3b42a1a65a4398c438835106b,0.11201499402523041,0.3728242516517639
30,qwen2.5:0.5b,2,The most important protocol for AICO unikernel is,11073,117725a8586ae1efdf19e4481450bdf82484a99d2c6e9ae8525529159e8501b6,-0.20476384460926056,-0.09599178284406662
31,qwen2.5:0.5b,3,Why did the chicken cross the Moebius strip?,11074,13e8c684de74a7880aba3a6155543b52c78c31e0148ac75f7ff0b5ab3391bccc,-0.006689315661787987,0.11186526715755463
32,qwen2.5:0.5b,4,The quantum entanglement of two particles implies,11075,34dd60dbf0a5ba28d72040dce7f300f40f6d69690e9db80024f9e18af6229e17,0.09893353283405304,-0.23253726959228516
33,qwen2.5:0.5b,5,A recipe for a cake that tastes like a rainy afternoon,11076,b77582f8083809076f5f2c20e450cc0bac6c4e7e4076ba573eb9e02e8d54b1fe,-0.06919911503791809,0.08334413170814514
34,qwen2.5:0.5b,6,The legal implications of a self-aware toaster,11077,d691ab1e39268ee3c1603fd0e87f1336a107d683ac0639cad7217ec54537436b,-0.13103026151657104,-0.06783927977085114
35,qwen2.5:0.5b,7,Describe a sunset on a planet with three suns,11078,139522f7cdd8ada96e994ac0e9864c4d33d508c67bad5adb257ff608e9276996,-0.07003138214349747,0.015110169537365437
36,qwen2.5:0.5b,8,The recursive nature of a mirror reflecting another mirror,11079,a42e5fa9ee6e5e6ce947fb1c7d6079862f115dd8cd9bb5001ebe85becfded00f,-0.0484420582652092,0.10833035409450531
37,qwen2.5:0.5b,9,How to build a functional time machine using only duct tape,11080,0eed6b6435c841fe82c53e2e7a9c515bdbdaa0e0d7c069d0c834f6592de2e8cd,-0.019142940640449524,-0.07493028044700623
38,qwen2.5:0.5b,10,The emotional landscape of a lonely satellite,11081,787b503e53cd5447128670b4bf7eb8f6555a5bd1af0deaa24731e3149d781298,-0.05527666211128235,0.10670169442892075
39,qwen2.5:0.5b,11,A mathematical proof that love is a universal constant,11082,fff1abf1fae89864bec57fead500e1b269ac4190f2a4bc681b1a9e88ac5211c9,0.10250470042228699,-0.06442335993051529
40,qwen2.5:0.5b,12,The first words spoken by a plant that just gained speech,11083,35173a5778ada620c8954aac19277aa66fef7dbf56a1546fda3c725fe7baf08d,0.033066485077142715,0.059192486107349396
41,qwen2.5:0.5b,13,An architectural plan for a city built inside a giant tree,11084,3705050881336c3055eaee4e01a6cc4c83ffc48f2da513ab2fd2bd108cf96d0b,0.17188425362110138,-0.02228470705449581
42,qwen2.5:0.5b,0,The capital of France is,11085,132970b4a067569a9fb18c8242910b943db4d2e6d5f4caf66b8d692749c92ba3,-0.07136257737874985,0.0008934579673223197
43,qwen2.5:0.5b,1,"In a futuristic city where data is currency, a rogue hacker",11086,9a0b2943df1c84f903d4a1b6460a71638b0282ba3a6ea8e380b6728f8f48814e,-0.16026706993579865,-0.02859148569405079
44,qwen2.5:0.5b,2,The most important protocol for AICO unikernel is,11087,079686078dcce756338967adbaf19e010c743eab00bd404e9202d6d8c4305005,-0.09469114989042282,0.0617615282535553
45,qwen2.5:0.5b,3,Why did the chicken cross the Moebius strip?,11088,ae700973a7a4a35c710386bcad560130d3bfaee6deb3c582a9e4f5d452a199e3,0.02339271642267704,-0.12057600170373917
46,qwen2.5:0.5b,4,The quantum entanglement of two particles implies,11089,54282eeff4782dc77a7f642967952c67afb945ee0a1f81d21a3d9846318204c8,-0.12666594982147217,-0.07498831301927567
47,qwen2.5:0.5b,5,A recipe for a cake that tastes like a rainy afternoon,11090,385142298a7495f25b9796a7aa26d020c628b4f4fae3604068bb71a2163458a2,0.25737667083740234,-0.18178695440292358
48,qwen2.5:0.5b,6,The legal implications of a self-aware toaster,11091,8fa7c5b81e02937484c16a697d904074446b8c48b450afb783ec13e011f0d500,-0.16494220495224,0.029038116335868835
49,qwen2.5:0.5b,7,Describe a sunset on a planet with three suns,11092,3bdaa1cb871c5543a383f939911e3cef16815a80822809630e39b6c5d5954edc,-0.06464096903800964,-0.15482237935066223
