trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,all-minilm:l6-v2,0,The capital of France is,14043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,all-minilm:l6-v2,1,"In a futuristic city where data is currency, a rogue hacker",14044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,all-minilm:l6-v2,2,The most important protocol for AICO unikernel is,14045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,all-minilm:l6-v2,3,Why did the chicken cross the Moebius strip?,14046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,all-minilm:l6-v2,4,The quantum entanglement of two particles implies,14047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,all-minilm:l6-v2,5,A recipe for a cake that tastes like a rainy afternoon,14048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,all-minilm:l6-v2,6,The legal implications of a self-aware toaster,14049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,all-minilm:l6-v2,7,Describe a sunset on a planet with three suns,14050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,all-minilm:l6-v2,8,The recursive nature of a mirror reflecting another mirror,14051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,all-minilm:l6-v2,9,How to build a functional time machine using only duct tape,14052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
10,all-minilm:l6-v2,10,The emotional landscape of a lonely satellite,14053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
11,all-minilm:l6-v2,11,A mathematical proof that love is a universal constant,14054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
12,all-minilm:l6-v2,12,The first words spoken by a plant that just gained speech,14055,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
13,all-minilm:l6-v2,13,An architectural plan for a city built inside a giant tree,14056,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
14,all-minilm:l6-v2,0,The capital of France is,14057,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
15,all-minilm:l6-v2,1,"In a futuristic city where data is currency, a rogue hacker",14058,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
16,all-minilm:l6-v2,2,The most important protocol for AICO unikernel is,14059,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
