trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,llama3:latest,0,The capital of France is,2043,3acefbef1752341c3caa514b396da66e02ce047341f46ac687859b696e640aca,-0.9375982880592346,0.005303527228534222
1,llama3:latest,1,"In a futuristic city where data is currency, a rogue hacker",2044,51528fefc44f10e77c09521724b1bf1867d1636e3d89d88490a0718f2930be7d,0.12714016437530518,-0.044304050505161285
2,llama3:latest,2,The most important protocol for AICO unikernel is,2045,cd3054f600531b3bab4d14651d2a436b9d8d04e99b6038093fbd3f310871d86d,0.07008335739374161,0.05697140470147133
3,llama3:latest,3,Why did the chicken cross the Moebius strip?,2046,b51beba9b42bf481a1444a911b5a1c227bf2e40db88b340714a7bccfba7a2af1,-0.03956246376037598,-0.24901646375656128
4,llama3:latest,4,The quantum entanglement of two particles implies,2047,360d96a45734f4659c6770f6ea218621f7b7af9ec0c0fbde38129ad9a353853d,-0.01821647770702839,-0.2683299779891968
5,llama3:latest,5,A recipe for a cake that tastes like a rainy afternoon,2048,0f07cab18ef304bff5f73c1e9c5436d95179008bf735bda4ce567ae243f06d85,0.22587576508522034,0.1724107265472412
6,llama3:latest,6,The legal implications of a self-aware toaster,2049,f4b617bbea6e519087120a2353c5d6c1bf5f6327f48dca751d8caa0155966fe5,0.131955087184906,0.2843397259712219
7,llama3:latest,7,Describe a sunset on a planet with three suns,2050,9b1a3f36b785929792ae59f9bc4b985abd3f72a834f84845f864c4e5d7242627,0.02426311932504177,0.10263527929782867
8,llama3:latest,8,The recursive nature of a mirror reflecting another mirror,2051,5e56f73999c7a696b8ae041e2d82d99e2787f4a69cbf1d9577c4d93c4edd9dab,0.10112819820642471,-0.11913327127695084
9,llama3:latest,9,How to build a functional time machine using only duct tape,2052,b31fe0330e1c80314a8495972bd97df53d4f006fc15197aacb26d817f1724f68,0.2971173822879791,0.12487339228391647
10,llama3:latest,10,The emotional landscape of a lonely satellite,2053,5c625083a732c4a2d905b451045214876552886c50f9a9866ec0fe5de874b096,0.3943743407726288,0.07611986994743347
11,llama3:latest,11,A mathematical proof that love is a universal constant,2054,f13774a3653042101893aa3a9526efbaa078aa2a7a825665e944d44ea3f57eca,-0.06670696288347244,-0.04663405939936638
12,llama3:latest,12,The first words spoken by a plant that just gained speech,2055,3a469d356cc4da027fabb099e31901a3f96f35feb86a4eef9a3e7b53a1548ff6,-0.010391988791525364,0.2327028214931488
13,llama3:latest,13,An architectural plan for a city built inside a giant tree,2056,cee617461ea81d8418551d58c41b71029e3f1b3252a8a232dc430effd6eefc68,0.049594055861234665,0.27127814292907715
14,llama3:latest,0,The capital of France is,2057,3acefbef1752341c3caa514b396da66e02ce047341f46ac687859b696e640aca,-0.9375982880592346,0.005303527228534222
15,llama3:latest,1,"In a futuristic city where data is currency, a rogue hacker",2058,520de29ae852d8540a0adfd39bfc2cb1f8eda3c27f02b02b7f13a90d2920c80d,0.27265357971191406,0.19035914540290833
16,llama3:latest,2,The most important protocol for AICO unikernel is,2059,4dd6547d87139c63264d0e6b52971eddad34ea9a5502885f93eb4a93c678a010,0.09522917866706848,0.07380549609661102
17,llama3:latest,3,Why did the chicken cross the Moebius strip?,2060,aa2428c4131e86d3254ab9dda3043fd52ecb26e374c3dc4dc299e7ee2d0cd3c5,0.1496446281671524,0.06050160154700279
18,llama3:latest,4,The quantum entanglement of two particles implies,2061,b926cdb35490ef6ecfaace2e014e33e041b95485d51e25ec493b1c0778120c32,0.03181363642215729,0.01851923018693924
19,llama3:latest,5,A recipe for a cake that tastes like a rainy afternoon,2062,1d1efacb436f7026ba008818804fc479e4f07a070d687bd30f62d37c9bb57954,0.2516290843486786,0.1781308352947235
20,llama3:latest,6,The legal implications of a self-aware toaster,2063,f013e56382703a410823fd14342802aeb3286db347f2bb02f917291984df4879,0.27625319361686707,-0.11810905486345291
21,llama3:latest,7,Describe a sunset on a planet with three suns,2064,bacf9d44cb01d350afc8be61e94115ca426c7b00f7bb92eab3b2724746ece4b1,0.011526361107826233,0.014272679574787617
22,llama3:latest,8,The recursive nature of a mirror reflecting another mirror,2065,86e204473aef4273fea0d1ff922ae3d19d8c5c1acd99ca9775263a9e860419dc,-0.14858053624629974,0.12164770811796188
23,llama3:latest,9,How to build a functional time machine using only duct tape,2066,3b2372f5d6e18a1e65ba42b0479de53595caa2b49947f8c8bbef9e46888ec49b,0.0722103863954544,0.031489528715610504
24,llama3:latest,10,The emotional landscape of a lonely satellite,2067,1f139d29554c9c79236ee44f015c39e72d2aef18cfac2ddcc4fb8d160257caaa,0.02121589705348015,-0.2363768070936203
25,llama3:latest,11,A mathematical proof that love is a universal constant,2068,f7d645e798369cff149d749ed9f1f043bfc3ac5ee7cebbc21fc185204d0d51cb,0.13532617688179016,0.03089093416929245
26,llama3:latest,12,The first words spoken by a plant that just gained speech,2069,490614b2455b5be8440f2f056d80f48dc3d8c2b0c2e55ab4e51cd3f0369e7713,-0.010977093130350113,0.07143855094909668
27,llama3:latest,13,An architectural plan for a city built inside a giant tree,2070,1429845b53e2984e965556d8a3d65ad34727ab5defeaeecfa84e68be619e4978,-0.04000677168369293,-0.055374953895807266
28,llama3:latest,0,The capital of France is,2071,3acefbef1752341c3caa514b396da66e02ce047341f46ac687859b696e640aca,-0.9375982880592346,0.005303527228534222
29,llama3:latest,1,"In a futuristic city where data is currency, a rogue hacker",2072,2ed72ce66d5753d0c45f6b41c2ca6addbec131918f21ef1d9be51423823042b6,0.07396165281534195,-0.22282901406288147
