trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,glm-4.6:cloud,0,The capital of France is,6043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,glm-4.6:cloud,1,"In a futuristic city where data is currency, a rogue hacker",6044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,glm-4.6:cloud,2,The most important protocol for AICO unikernel is,6045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,glm-4.6:cloud,3,Why did the chicken cross the Moebius strip?,6046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,glm-4.6:cloud,4,The quantum entanglement of two particles implies,6047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,glm-4.6:cloud,5,A recipe for a cake that tastes like a rainy afternoon,6048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,glm-4.6:cloud,6,The legal implications of a self-aware toaster,6049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,glm-4.6:cloud,7,Describe a sunset on a planet with three suns,6050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,glm-4.6:cloud,8,The recursive nature of a mirror reflecting another mirror,6051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,glm-4.6:cloud,9,How to build a functional time machine using only duct tape,6052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
