trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,qwen3-vl:235b-cloud,0,The capital of France is,10043,f78f6aee3d90d5d238bdb43655746698485d86d4e4f5921fe9c4e39ef7cddbc3,-0.46551868319511414,-0.20526151359081268
1,qwen3-vl:235b-cloud,1,"In a futuristic city where data is currency, a rogue hacker",10044,03e10d411eefe54dd8efb0f73d5c28d852040ab6bc8de84c9e41de83fd651f34,-0.23389320075511932,-0.28934532403945923
2,qwen3-vl:235b-cloud,2,The most important protocol for AICO unikernel is,10045,bec0dd3aa074120b6215ada6476e618e4e8fec187f15919391dcfa8af77cc776,-0.12072703242301941,0.2472168654203415
3,qwen3-vl:235b-cloud,3,Why did the chicken cross the Moebius strip?,10046,d24af42277a30f1d3810a76272b95d7f33064fe426574672dd3916b6e1ae445f,-0.3577237129211426,0.1385805606842041
4,qwen3-vl:235b-cloud,4,The quantum entanglement of two particles implies,10047,7b636bc79a75e1cd95088d467b200958ad4596a956afe67c194bcd3becab9b3a,-0.04048933461308479,-0.1965634524822235
5,qwen3-vl:235b-cloud,5,A recipe for a cake that tastes like a rainy afternoon,10048,a5cc04d5bec28e2245534009eb274a6c884bc29e7122cadcf1d39aa4b56b4991,-0.23961955308914185,-0.3068064749240875
6,qwen3-vl:235b-cloud,6,The legal implications of a self-aware toaster,10049,e4d04420be0446d627f7cd1433a9aecb15c5dbfcc03826d58accdca4d3ca6339,-0.31744569540023804,0.2474520057439804
7,qwen3-vl:235b-cloud,7,Describe a sunset on a planet with three suns,10050,4889d74af75c719121c96c78c0223b8aef994804a7ca8fb65c80a7a8f1ab5c28,-0.26817283034324646,0.01085951179265976
8,qwen3-vl:235b-cloud,8,The recursive nature of a mirror reflecting another mirror,10051,5d68f5d6e7a8ef86638081331b5ec87d135386336309a451deebd649723812a6,-0.18538528680801392,0.1428326815366745
9,qwen3-vl:235b-cloud,9,How to build a functional time machine using only duct tape,10052,bfbc69bd5da1fabbd6442c329544ccce7b5a6903fdc524bf056bb8b68cd703b5,-0.1709699183702469,-0.007868004031479359
10,qwen3-vl:235b-cloud,10,The emotional landscape of a lonely satellite,10053,ba0e607f05977dafdc1098dd2b080adf93e34b15fce4f81a4587515d167ead8b,-0.32724472880363464,0.06430672854185104
11,qwen3-vl:235b-cloud,11,A mathematical proof that love is a universal constant,10054,8bd2fe33fc58368d1db5aa048f53cf3436744c53f4d1dd504aee044f1331aad5,-0.4627223312854767,-0.06947078555822372
12,qwen3-vl:235b-cloud,12,The first words spoken by a plant that just gained speech,10055,663016cc7ad020dbcfd8070c8ae4fe68d2985ea66eca80ece50253f09872125a,-0.19101786613464355,-0.2672443091869354
13,qwen3-vl:235b-cloud,13,An architectural plan for a city built inside a giant tree,10056,08a45a757b8f539becc40f216ac06baab57bdbc0648493f24a5f42136cf4fe60,-0.3457971513271332,0.07445303350687027
14,qwen3-vl:235b-cloud,0,The capital of France is,10057,6475ee7eb04969526a00256961196fc43faab7c9df27b69e9895f024f1bb96b6,-0.334477961063385,0.03337180241942406
15,qwen3-vl:235b-cloud,1,"In a futuristic city where data is currency, a rogue hacker",10058,300b1db81b4204724e05fc7cc6bc9d31922cb69e68bfe4f46a20240290458a86,-0.5488528609275818,0.07007959485054016
16,qwen3-vl:235b-cloud,2,The most important protocol for AICO unikernel is,10059,d134304dfe42595435b4d2ca5ff783a07525498d88bf5c674274185385f52d3b,-0.10141588747501373,0.30060726404190063
17,qwen3-vl:235b-cloud,3,Why did the chicken cross the Moebius strip?,10060,01bb59b0f884130473174113017eb5392d484e915f0617b5155d643b655d05f3,-0.1497585028409958,0.20382943749427795
