trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,qwen3-vl:8b,0,The capital of France is,7043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,qwen3-vl:8b,1,"In a futuristic city where data is currency, a rogue hacker",7044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,qwen3-vl:8b,2,The most important protocol for AICO unikernel is,7045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,qwen3-vl:8b,3,Why did the chicken cross the Moebius strip?,7046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,qwen3-vl:8b,4,The quantum entanglement of two particles implies,7047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,qwen3-vl:8b,5,A recipe for a cake that tastes like a rainy afternoon,7048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,qwen3-vl:8b,6,The legal implications of a self-aware toaster,7049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,qwen3-vl:8b,7,Describe a sunset on a planet with three suns,7050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,qwen3-vl:8b,8,The recursive nature of a mirror reflecting another mirror,7051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,qwen3-vl:8b,9,How to build a functional time machine using only duct tape,7052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
10,qwen3-vl:8b,10,The emotional landscape of a lonely satellite,7053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
