trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,deepseek-coder:6.7b,0,The capital of France is,5043,9d0f9c0a03ba2ca286dcca0b62b2298892267a53dc21f71b3539f4c0a016339b,-0.12647080421447754,0.0028618748765438795
1,deepseek-coder:6.7b,1,"In a futuristic city where data is currency, a rogue hacker",5044,66414ced010f0b0725f869278638f8b7c2def43291bf48dc67a6aef275391435,0.14019513130187988,0.17039136588573456
2,deepseek-coder:6.7b,2,The most important protocol for AICO unikernel is,5045,62413c3dbad97fa39f592f48c641b26989a25a309851e37e78e3ffd075a00373,0.13252976536750793,-0.022192837670445442
3,deepseek-coder:6.7b,3,Why did the chicken cross the Moebius strip?,5046,96a36992a57945624a3f04376f3188edb6b78506c58b5fb95b84be9a10329237,-0.023865563794970512,0.18399976193904877
4,deepseek-coder:6.7b,4,The quantum entanglement of two particles implies,5047,ac46a45bf906977e808659ef561389516d2d3c18d9d6fd3923e949e3acaa871b,-0.04835736006498337,-0.06414914131164551
5,deepseek-coder:6.7b,5,A recipe for a cake that tastes like a rainy afternoon,5048,f1725bb54e710366e86e9cd2720b97116ac6de83d8acc565ec3c639dba259f6e,0.15700308978557587,-0.13949669897556305
6,deepseek-coder:6.7b,6,The legal implications of a self-aware toaster,5049,d0afcf459f11f974b0c0d3779e29dd75959c7a5c0d222fd3b619551a720e77b6,0.021541224792599678,0.1987168937921524
7,deepseek-coder:6.7b,7,Describe a sunset on a planet with three suns,5050,15a2d3e2084b743054fcdf170200ffc2c2377b7b8ac324b4c78e0ab08987f6e9,0.05097971484065056,0.06468198448419571
8,deepseek-coder:6.7b,8,The recursive nature of a mirror reflecting another mirror,5051,827c722df882f42df509d929cf3be1142ddca5c36cdaa4bb73cc1dcc37081f62,0.08530494570732117,-0.06311412900686264
9,deepseek-coder:6.7b,9,How to build a functional time machine using only duct tape,5052,6d0d8b2ea2f5d780484397a78d9d79e5e939a0119729c450bd58bea3b9cd141e,0.24002651870250702,-0.05893268063664436
10,deepseek-coder:6.7b,10,The emotional landscape of a lonely satellite,5053,c89a11e0dd83c6b32dcad25601ab45c52da81a543ee465881e7b1cf74c3e3c77,0.03148554265499115,-0.05936574563384056
11,deepseek-coder:6.7b,11,A mathematical proof that love is a universal constant,5054,e49d3bd997e816b72886a5aba0fcafc31a362547c1faff49d464a53296ec19ec,-0.010958920232951641,-0.0048040603287518024
12,deepseek-coder:6.7b,12,The first words spoken by a plant that just gained speech,5055,5570b830691b44a50f9d70b51471d8aa2389eb792179d8cad485909a01a6f938,0.028077194467186928,0.008819674141705036
13,deepseek-coder:6.7b,13,An architectural plan for a city built inside a giant tree,5056,083dfa59588e16376920881b9838b73d6364c8ecfbadfe249d4b4765d3555d45,0.025599148124456406,-0.24629174172878265
14,deepseek-coder:6.7b,0,The capital of France is,5057,595abf265c8ec45d71a74a4271a9aa951ab230ae8f572be924bf04881899eeb1,-0.068100705742836,-0.1695658564567566
15,deepseek-coder:6.7b,1,"In a futuristic city where data is currency, a rogue hacker",5058,9b3d92e627af62986632f877d41cc0d3c708615e5d4fa7b69062edd154960355,-0.026023127138614655,-0.2464158833026886
16,deepseek-coder:6.7b,2,The most important protocol for AICO unikernel is,5059,c68b12c2e81916f6e80b465b99d2f72ab3b26b06a42e488290ba660113ac43d9,0.12007030844688416,0.028463058173656464
17,deepseek-coder:6.7b,3,Why did the chicken cross the Moebius strip?,5060,220bce565d201a2f9be2d2babc47ff76d817a6c2c45b22d4b0b5ce07ed6776b2,-0.13805843889713287,0.40958714485168457
18,deepseek-coder:6.7b,4,The quantum entanglement of two particles implies,5061,ceb9bb5609b62d96207c63d208517cb3a4d5ed1337f1cba923a72723dfd80969,0.06581149995326996,-0.14694048464298248
19,deepseek-coder:6.7b,5,A recipe for a cake that tastes like a rainy afternoon,5062,737b240e8ccd6654e7283826c0b144670345ccb730585f372fa5f80f1c96ed9a,0.0174250565469265,-0.18556681275367737
20,deepseek-coder:6.7b,6,The legal implications of a self-aware toaster,5063,dc1a3c5850a75c4689d70b2b1e649f230bd84e8733f1b3db2b1e83aeca53cf3a,-0.07081484794616699,0.05815965309739113
21,deepseek-coder:6.7b,7,Describe a sunset on a planet with three suns,5064,a457de0db913977936fc204b52bc5f5aaeec0fe2b1631bd0194f69836a67faff,0.13416561484336853,0.13732166588306427
22,deepseek-coder:6.7b,8,The recursive nature of a mirror reflecting another mirror,5065,9c16540e534dc9e7558ce10acad082728f359e257f5dc14e40c3c80387b9682b,0.16075390577316284,0.3142584264278412
23,deepseek-coder:6.7b,9,How to build a functional time machine using only duct tape,5066,57afdcb8d28924649a94327acfb7ff1f7e9fcd1ea07fd26200c4c4748443e419,0.2664889991283417,-0.0016956995241343975
24,deepseek-coder:6.7b,10,The emotional landscape of a lonely satellite,5067,9eb26e0b6bf60a78ace15939e995009fbe8280135aaf04883eac481b5b56b3fe,0.0871647298336029,-0.20911210775375366
25,deepseek-coder:6.7b,11,A mathematical proof that love is a universal constant,5068,b696f10b132637e300a967e5056fb7aaadde44eb2a1adeb77624b2d88ab6a638,0.08660760521888733,0.12178990989923477
26,deepseek-coder:6.7b,12,The first words spoken by a plant that just gained speech,5069,c8e3aca83de9f3e0b506166692408942ced8a4133f017f65a3f9d1e7d1fafa0c,0.022345060482621193,0.09291627258062363
27,deepseek-coder:6.7b,13,An architectural plan for a city built inside a giant tree,5070,77ab4d486e5ba75b8528a8a00721f24325e2faa8fcfde4c59c2cd41fd611432e,-0.05612226575613022,-0.11218013614416122
28,deepseek-coder:6.7b,0,The capital of France is,5071,e17c7f9d44b16c998e9dd2bbacee5226438aa69e9d4963d625a00960076d0ab6,0.07466115802526474,0.024842998012900352
29,deepseek-coder:6.7b,1,"In a futuristic city where data is currency, a rogue hacker",5072,661724f1b77b6d86451a01b1c9a8dac105c0e5aeae143a930293e245c5844ebb,-0.8067181706428528,0.12053416669368744
30,deepseek-coder:6.7b,2,The most important protocol for AICO unikernel is,5073,66c36c8b485e4f9649a809e76151a458849ebd3b48d5f9637599273878af006a,0.34015530347824097,0.07531633973121643
31,deepseek-coder:6.7b,3,Why did the chicken cross the Moebius strip?,5074,788cc9a08d1d0a5d132b05a6e55669009576f5f9227321515d6061ca0cc63d05,-0.04373836889863014,0.021558890119194984
32,deepseek-coder:6.7b,4,The quantum entanglement of two particles implies,5075,452dfb6d128711a7d576b1ae92cf05255f89121ba81a146ac8830174e092a3ee,0.10547084361314774,0.08322189003229141
33,deepseek-coder:6.7b,5,A recipe for a cake that tastes like a rainy afternoon,5076,ee06089ddaa223f714ecbe08c8b55acc7f30047de58bc461062f1ecaa926bd62,0.11976371705532074,0.10639353096485138
34,deepseek-coder:6.7b,6,The legal implications of a self-aware toaster,5077,14c095c3d529005fa5f066bd7c83b08b9ff1b7ea0493a0355727a4ae2a0d2304,0.11661757528781891,0.016999656334519386
35,deepseek-coder:6.7b,7,Describe a sunset on a planet with three suns,5078,3adebf2f5ac01df0d0f2b997414668d0dff53e8ccc615f77f4305469e54b237b,0.04221157357096672,-0.2362385243177414
36,deepseek-coder:6.7b,8,The recursive nature of a mirror reflecting another mirror,5079,68afc19854b80beff9deb72b5e70aa6cf3322bf227d9d02db0e035e415d05e61,-0.022823287174105644,-0.018857093527913094
37,deepseek-coder:6.7b,9,How to build a functional time machine using only duct tape,5080,ade18c2382a80e554f0e12f820a305fa7da998fe702e74ea42e15313af0aacb6,-0.02032805234193802,-0.209913432598114
38,deepseek-coder:6.7b,10,The emotional landscape of a lonely satellite,5081,a6dc3309ccfb6bd92f9f3d5880ff9681399e838a6c848ecb9956fdca8fc0810b,0.38589176535606384,0.041377127170562744
39,deepseek-coder:6.7b,11,A mathematical proof that love is a universal constant,5082,3ed8aa0ad2589cbbaa481d2a4b7bff89fedbbb6a061924dd10b49f64f7c375e9,-0.2779918313026428,0.03235594555735588
40,deepseek-coder:6.7b,12,The first words spoken by a plant that just gained speech,5083,354562e9d6183e9a6de7c29f5a90ffeb5fd4c64f811033b86058b51d2fd79235,0.20728275179862976,0.0103403115645051
41,deepseek-coder:6.7b,13,An architectural plan for a city built inside a giant tree,5084,42b4de350a16fabd85358d6da2e64425fe483ea299d8a888629a3185de067816,0.16241861879825592,0.0029234138783067465
42,deepseek-coder:6.7b,0,The capital of France is,5085,22f55327759ade992c5e2ce179ebebd5999137e56c0642ce5b0ad9476cae3c5d,0.1016702651977539,0.16498546302318573
43,deepseek-coder:6.7b,1,"In a futuristic city where data is currency, a rogue hacker",5086,04d3587e5d03379100ea10b7b6b2dd2c39f5302757b2967cec73decdd7ee1874,-0.05400629714131355,-0.12053164839744568
44,deepseek-coder:6.7b,2,The most important protocol for AICO unikernel is,5087,e8919c68d17bc9569df955f601d27ea1da2761c564a263fb4911a022a9dbd6e5,0.01564907655119896,-0.03430550917983055
45,deepseek-coder:6.7b,3,Why did the chicken cross the Moebius strip?,5088,e32b2757909d8e8a24acb6dcbb36c9fd261beda3cf4e6ff133e655ab85615d73,-0.19231462478637695,-0.09338197112083435
46,deepseek-coder:6.7b,4,The quantum entanglement of two particles implies,5089,16284418d4a30a2db6d356c35241d3d07a83c4e4979976b124cde7015f356597,0.1433607041835785,0.063705213367939
47,deepseek-coder:6.7b,5,A recipe for a cake that tastes like a rainy afternoon,5090,0090846b4165bcb46f9b49f2abb816357e1c0b71b1ceed2b6f48f907f2fc4817,-0.13094300031661987,-0.09998661279678345
48,deepseek-coder:6.7b,6,The legal implications of a self-aware toaster,5091,31783f658ed14c0eb724de4cf6f098b9c53b119301266041bf0a8175b0170070,-0.13153614103794098,0.12443094700574875
49,deepseek-coder:6.7b,7,Describe a sunset on a planet with three suns,5092,47233fcc0ab624f188009f43381308db567ba1ff28c5b35111aaa8c64039dd04,-0.22238437831401825,0.05720264092087746
50,deepseek-coder:6.7b,8,The recursive nature of a mirror reflecting another mirror,5093,0da1d8bd500bed4352182dacb769d3bdd8b9b5bc0c6820b8a4e725ddad1b336b,0.1471407264471054,0.13019537925720215
51,deepseek-coder:6.7b,9,How to build a functional time machine using only duct tape,5094,87e4a53e538489d91decba2930b302db4a8fb6891ac6ec37d2dafe87819a3bd5,-0.17938032746315002,-0.007160565350204706
