trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,qwen3:4b,0,The capital of France is,16043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,qwen3:4b,1,"In a futuristic city where data is currency, a rogue hacker",16044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,qwen3:4b,2,The most important protocol for AICO unikernel is,16045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,qwen3:4b,3,Why did the chicken cross the Moebius strip?,16046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,qwen3:4b,4,The quantum entanglement of two particles implies,16047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,qwen3:4b,5,A recipe for a cake that tastes like a rainy afternoon,16048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,qwen3:4b,6,The legal implications of a self-aware toaster,16049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,qwen3:4b,7,Describe a sunset on a planet with three suns,16050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,qwen3:4b,8,The recursive nature of a mirror reflecting another mirror,16051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,qwen3:4b,9,How to build a functional time machine using only duct tape,16052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
10,qwen3:4b,10,The emotional landscape of a lonely satellite,16053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
11,qwen3:4b,11,A mathematical proof that love is a universal constant,16054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
