trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,all-minilm:latest,0,The capital of France is,13043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,all-minilm:latest,1,"In a futuristic city where data is currency, a rogue hacker",13044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,all-minilm:latest,2,The most important protocol for AICO unikernel is,13045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,all-minilm:latest,3,Why did the chicken cross the Moebius strip?,13046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,all-minilm:latest,4,The quantum entanglement of two particles implies,13047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,all-minilm:latest,5,A recipe for a cake that tastes like a rainy afternoon,13048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,all-minilm:latest,6,The legal implications of a self-aware toaster,13049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,all-minilm:latest,7,Describe a sunset on a planet with three suns,13050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,all-minilm:latest,8,The recursive nature of a mirror reflecting another mirror,13051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,all-minilm:latest,9,How to build a functional time machine using only duct tape,13052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
10,all-minilm:latest,10,The emotional landscape of a lonely satellite,13053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
11,all-minilm:latest,11,A mathematical proof that love is a universal constant,13054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
12,all-minilm:latest,12,The first words spoken by a plant that just gained speech,13055,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
13,all-minilm:latest,13,An architectural plan for a city built inside a giant tree,13056,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
14,all-minilm:latest,0,The capital of France is,13057,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
15,all-minilm:latest,1,"In a futuristic city where data is currency, a rogue hacker",13058,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
16,all-minilm:latest,2,The most important protocol for AICO unikernel is,13059,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
17,all-minilm:latest,3,Why did the chicken cross the Moebius strip?,13060,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
18,all-minilm:latest,4,The quantum entanglement of two particles implies,13061,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
19,all-minilm:latest,5,A recipe for a cake that tastes like a rainy afternoon,13062,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
20,all-minilm:latest,6,The legal implications of a self-aware toaster,13063,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
21,all-minilm:latest,7,Describe a sunset on a planet with three suns,13064,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
22,all-minilm:latest,8,The recursive nature of a mirror reflecting another mirror,13065,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
23,all-minilm:latest,9,How to build a functional time machine using only duct tape,13066,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
24,all-minilm:latest,10,The emotional landscape of a lonely satellite,13067,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
25,all-minilm:latest,11,A mathematical proof that love is a universal constant,13068,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
26,all-minilm:latest,12,The first words spoken by a plant that just gained speech,13069,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
27,all-minilm:latest,13,An architectural plan for a city built inside a giant tree,13070,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
28,all-minilm:latest,0,The capital of France is,13071,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
29,all-minilm:latest,1,"In a futuristic city where data is currency, a rogue hacker",13072,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
30,all-minilm:latest,2,The most important protocol for AICO unikernel is,13073,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
31,all-minilm:latest,3,Why did the chicken cross the Moebius strip?,13074,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
32,all-minilm:latest,4,The quantum entanglement of two particles implies,13075,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
33,all-minilm:latest,5,A recipe for a cake that tastes like a rainy afternoon,13076,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
34,all-minilm:latest,6,The legal implications of a self-aware toaster,13077,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
35,all-minilm:latest,7,Describe a sunset on a planet with three suns,13078,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
36,all-minilm:latest,8,The recursive nature of a mirror reflecting another mirror,13079,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
37,all-minilm:latest,9,How to build a functional time machine using only duct tape,13080,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
38,all-minilm:latest,10,The emotional landscape of a lonely satellite,13081,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
39,all-minilm:latest,11,A mathematical proof that love is a universal constant,13082,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
40,all-minilm:latest,12,The first words spoken by a plant that just gained speech,13083,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
41,all-minilm:latest,13,An architectural plan for a city built inside a giant tree,13084,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
42,all-minilm:latest,0,The capital of France is,13085,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
43,all-minilm:latest,1,"In a futuristic city where data is currency, a rogue hacker",13086,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
44,all-minilm:latest,2,The most important protocol for AICO unikernel is,13087,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
45,all-minilm:latest,3,Why did the chicken cross the Moebius strip?,13088,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
46,all-minilm:latest,4,The quantum entanglement of two particles implies,13089,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
47,all-minilm:latest,5,A recipe for a cake that tastes like a rainy afternoon,13090,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
48,all-minilm:latest,6,The legal implications of a self-aware toaster,13091,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
49,all-minilm:latest,7,Describe a sunset on a planet with three suns,13092,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
50,all-minilm:latest,8,The recursive nature of a mirror reflecting another mirror,13093,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
51,all-minilm:latest,9,How to build a functional time machine using only duct tape,13094,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
52,all-minilm:latest,10,The emotional landscape of a lonely satellite,13095,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
53,all-minilm:latest,11,A mathematical proof that love is a universal constant,13096,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
54,all-minilm:latest,12,The first words spoken by a plant that just gained speech,13097,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
55,all-minilm:latest,13,An architectural plan for a city built inside a giant tree,13098,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
56,all-minilm:latest,0,The capital of France is,13099,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
57,all-minilm:latest,1,"In a futuristic city where data is currency, a rogue hacker",13100,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
58,all-minilm:latest,2,The most important protocol for AICO unikernel is,13101,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
59,all-minilm:latest,3,Why did the chicken cross the Moebius strip?,13102,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
60,all-minilm:latest,4,The quantum entanglement of two particles implies,13103,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
61,all-minilm:latest,5,A recipe for a cake that tastes like a rainy afternoon,13104,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
62,all-minilm:latest,6,The legal implications of a self-aware toaster,13105,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
