trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,qwen2.5-coder:1.5b-base,0,The capital of France is,8043,964e0ab5ed410ef7c6be1d88c0dad01a4769b93aaccc0f330cc06635b2739cb1,0.12943802773952484,0.1922185719013214
1,qwen2.5-coder:1.5b-base,1,"In a futuristic city where data is currency, a rogue hacker",8044,dc1da601f23320a73cf7e828b53906f3cb69ab2df15d5ec979c98c7c6f976e87,0.09365498274564743,0.20291675627231598
2,qwen2.5-coder:1.5b-base,2,The most important protocol for AICO unikernel is,8045,8e2a6ad7cd92a4b45177f83cc6aa533c471580d25014ca5d0af952dd0408ce89,0.0009523183689452708,0.008135620504617691
3,qwen2.5-coder:1.5b-base,3,Why did the chicken cross the Moebius strip?,8046,35c01a275130f2e6f4af614d9b1bf5c51ae9281c69ce11bde2ebddfb23cb1300,0.04332742094993591,0.015769241377711296
4,qwen2.5-coder:1.5b-base,4,The quantum entanglement of two particles implies,8047,0b68bdd0cd2cabdbc2f17c7ebe898c3d76ac9b28540ce8ec5bd72500efe7d0c4,-0.167573019862175,0.09414390474557877
5,qwen2.5-coder:1.5b-base,5,A recipe for a cake that tastes like a rainy afternoon,8048,280793bd03908f93de97431552169053ee06f3c93bce5fba5687260f4f024f81,0.01829591765999794,0.14627772569656372
6,qwen2.5-coder:1.5b-base,6,The legal implications of a self-aware toaster,8049,cf0be87fb9bb068af26ebb46c171634d04081c3497555167710fbb04c7f187cb,0.12482757121324539,-0.02195282280445099
7,qwen2.5-coder:1.5b-base,7,Describe a sunset on a planet with three suns,8050,d10ee372800dc60f314298e58810c626b0e2dfee7f00fb102c42095605d2fb95,-0.0713782012462616,0.1478547751903534
8,qwen2.5-coder:1.5b-base,8,The recursive nature of a mirror reflecting another mirror,8051,0e9d5b2fdcc7ad9811fb7f3e7faab3d7f3c639418ec3d6179cfeafdee3a03d54,-0.11457881331443787,-0.07165808230638504
9,qwen2.5-coder:1.5b-base,9,How to build a functional time machine using only duct tape,8052,56adeb1ffd6f7370f196c00102ed963916d9d211cc0bc1903a3844cf74070ec7,-0.1910438984632492,0.06735668331384659
10,qwen2.5-coder:1.5b-base,10,The emotional landscape of a lonely satellite,8053,1790115fb8a0466efa7271ac82c3580f0b14e5eedb7a15a438f399ba7f29ddb8,-0.11443015187978745,-0.17735084891319275
11,qwen2.5-coder:1.5b-base,11,A mathematical proof that love is a universal constant,8054,3157fb8a74c35425d225a0a7f9fe64620d6ebf7623d5b93fb6b3bd3db3513f35,-0.08741913735866547,0.07988809049129486
12,qwen2.5-coder:1.5b-base,12,The first words spoken by a plant that just gained speech,8055,6a9c0376e131bd02b86b285c8a4e89dc369ea3f477478ade3e8a6649e787a7f3,-0.2029256373643875,-0.1334732621908188
13,qwen2.5-coder:1.5b-base,13,An architectural plan for a city built inside a giant tree,8056,e98ef96ab7bcd0cfb419202cda9e3bf37aa5f44e84f65bf353d0806d740fc433,0.11393032222986221,-0.030038153752684593
14,qwen2.5-coder:1.5b-base,0,The capital of France is,8057,d4e6d42783c610e79652441a3de1035b5e798342a4d769f9d9c613f5acfecea3,0.1870773583650589,-0.29102468490600586
15,qwen2.5-coder:1.5b-base,1,"In a futuristic city where data is currency, a rogue hacker",8058,cd104b68bb854140fc7e2ec539fb5d064e4209d5d57998bcaf64aafb9294d689,-0.28011882305145264,-0.0458027683198452
16,qwen2.5-coder:1.5b-base,2,The most important protocol for AICO unikernel is,8059,88a5d5ce819fa1564a5b0536380a6552a68260b343fecd090ef8ce8d7759a22a,0.1331191509962082,0.2106133997440338
17,qwen2.5-coder:1.5b-base,3,Why did the chicken cross the Moebius strip?,8060,99622632bbd4a980e6e4077174d6c9e15581e6c3b6ead7716889a602a85540ba,0.0033881727140396833,-0.13148292899131775
18,qwen2.5-coder:1.5b-base,4,The quantum entanglement of two particles implies,8061,7e220428603486383c79f73485825e902440b429bee856761e78cd4024718e8d,0.1688385158777237,0.12942637503147125
19,qwen2.5-coder:1.5b-base,5,A recipe for a cake that tastes like a rainy afternoon,8062,7784066272817bd0867f3c454d6b9d90b1c52b4c0ec51cfad1fecf800a595c98,0.054495058953762054,-0.028735913336277008
20,qwen2.5-coder:1.5b-base,6,The legal implications of a self-aware toaster,8063,46779adbe75d18a7d2e516ac412847a803cc5d6e82589cfeda322cbea182c7f5,-0.17868812382221222,-0.07669378072023392
21,qwen2.5-coder:1.5b-base,7,Describe a sunset on a planet with three suns,8064,4a2f87f62cbd8f0e4c163791ecdf0c47aee9a5d7cad6f1ae6d8910f24d9ba496,-0.20812490582466125,-0.12111418694257736
22,qwen2.5-coder:1.5b-base,8,The recursive nature of a mirror reflecting another mirror,8065,7c11783be92ed5f0eb2ab33a5ba402a4f083149a884fc6fd3d529e4029772341,-0.047678474336862564,0.1739705502986908
23,qwen2.5-coder:1.5b-base,9,How to build a functional time machine using only duct tape,8066,54e0905da8bf699be68945ddd9183e1bd611309d8b6f0544d1e5739fb49a0309,-0.021852819249033928,0.025076085701584816
