trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,gpt-oss:20b,0,The capital of France is,4043,bdff8c417ab50e95e95cce16035a3799c7e00104de4a7b3453f06728c620faf7,1.0471161603927612,-0.6878561973571777
1,gpt-oss:20b,1,"In a futuristic city where data is currency, a rogue hacker",4044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
2,gpt-oss:20b,2,The most important protocol for AICO unikernel is,4045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
3,gpt-oss:20b,3,Why did the chicken cross the Moebius strip?,4046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
4,gpt-oss:20b,4,The quantum entanglement of two particles implies,4047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
5,gpt-oss:20b,5,A recipe for a cake that tastes like a rainy afternoon,4048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
6,gpt-oss:20b,6,The legal implications of a self-aware toaster,4049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
7,gpt-oss:20b,7,Describe a sunset on a planet with three suns,4050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
8,gpt-oss:20b,8,The recursive nature of a mirror reflecting another mirror,4051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
9,gpt-oss:20b,9,How to build a functional time machine using only duct tape,4052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
10,gpt-oss:20b,10,The emotional landscape of a lonely satellite,4053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
11,gpt-oss:20b,11,A mathematical proof that love is a universal constant,4054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
12,gpt-oss:20b,12,The first words spoken by a plant that just gained speech,4055,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.08554723113775253,0.003963646478950977
