trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,gemma3:1b,0,The capital of France is,1043,49e04c9d4e8e2de388172246f86473fff54a9a3afc7d7f9b0fb046d76ed8d671,-0.07049388438463211,0.009248591959476471
1,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1044,8bc4a971ad56c5c2b53f8f45367272f6a4562e0ea5e85b1d814ac110093a5545,0.08184009045362473,0.22964133322238922
2,gemma3:1b,2,The most important protocol for AICO unikernel is,1045,b88f864b1dbd0a7af81aa9a21f78c52dc6cf29217f7567f9c5ec9093a7524f0f,-0.006079626735299826,0.08995901048183441
3,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1046,e0677d89490bb92559770ee790595c95bf68899d2c1183eed92da484ea6a0b6c,-0.700222909450531,0.6522476077079773
4,gemma3:1b,4,The quantum entanglement of two particles implies,1047,405398f42ee8693c9c1cd46a3abea3dc9a798558622e98b196599ff83419b6b8,0.05962449312210083,0.07379942387342453
5,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1048,559443e822051e73b84dd1b7030422393f76ce6bf86423dfacdeb9483716e5cd,-0.044912189245224,-0.21287454664707184
6,gemma3:1b,6,The legal implications of a self-aware toaster,1049,0556dd68d53c602f8b4eb016969c0ec74903a93017616c0b4618b3a96be06b31,0.2870182991027832,-0.08806637674570084
7,gemma3:1b,7,Describe a sunset on a planet with three suns,1050,79d7fb2cf4c711dba4720de18bad507541bb078ac6bc142227ab08d327a6d6e9,0.06900835037231445,0.099214106798172
8,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1051,9ef153f2f3585e8cba73590a93b5095c185af58c8c76ef6358ccd50eb4fc2a04,0.0966564193367958,0.051981862634420395
9,gemma3:1b,9,How to build a functional time machine using only duct tape,1052,ff19671145f274c27cd3f30ce3288d78c5e064606f8eee1b1ab5237cdc6e1160,-0.014817826449871063,0.12185269594192505
10,gemma3:1b,10,The emotional landscape of a lonely satellite,1053,08870e118477fa664ae860fa819cd61b0e91bb424f5927059c1ae033fefa0769,0.05586133524775505,0.022376494482159615
11,gemma3:1b,11,A mathematical proof that love is a universal constant,1054,1a7fac78f06bbb60919c07ce184602a4c6ded5bce55e66615ceb685d4399ca72,0.11622966825962067,0.06221907585859299
12,gemma3:1b,12,The first words spoken by a plant that just gained speech,1055,41ffddc3b80e273066720fed51cd8ec29df6378cce697ac6200853bbadfebc1b,0.08175461739301682,-0.09040205925703049
13,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1056,bbb636fa420a2c5a138aec408f1e4d62a882cf89b21666d38748e2ff17d3abbe,0.3839922547340393,-0.08760890364646912
14,gemma3:1b,0,The capital of France is,1057,67755ecf58c8ea0fb7823dd53502948af40708de0af6f388c75799c70b8ac2ba,-0.6733898520469666,-0.6660326719284058
15,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1058,5d9c3d4df921ee96603992fcf1072e75fb67f73d69a3d2e971aa21417cc67c1b,0.23771555721759796,0.012058860622346401
16,gemma3:1b,2,The most important protocol for AICO unikernel is,1059,8fea8c8643416933d2653657e0a5894d323c728730a02048ac2a12395c0ca0eb,0.09355759620666504,0.09854482114315033
17,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1060,c665c4417ca1e13541748da63d5f2ff15426167da4c9daed2ba4d7629e883eab,0.3168848752975464,0.022942107170820236
18,gemma3:1b,4,The quantum entanglement of two particles implies,1061,0f1f3380f62ea1dd689a7e450bb496ea03dd92308bbab4b9983053d09c3a372f,0.026023177430033684,-0.046208132058382034
19,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1062,ebaf5fbd690dfdf9d88fa084712a9dc55c2a55b306e5f4ed8f0d892ca141be9a,0.17898307740688324,0.005021975841373205
20,gemma3:1b,6,The legal implications of a self-aware toaster,1063,b12a0255a718059252b4a94bef17575475b345f5b1ed5bd7bbbbf75dc9a49bdd,-0.03799502179026604,0.06046752631664276
21,gemma3:1b,7,Describe a sunset on a planet with three suns,1064,8e70fe0010b8213148af45cb45b6701c59a51975ea1723739f73d329339e50e9,0.050971247255802155,0.16714230179786682
22,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1065,5ac9e9ada27942630e3a96c42315f43cf1818941f8da99cc08558e62b67cd462,-0.15501314401626587,0.13222256302833557
23,gemma3:1b,9,How to build a functional time machine using only duct tape,1066,b89fc0522c4764ebc9e44312130c814c359d122af49814799255de1fa5115898,0.17433255910873413,0.1404702216386795
24,gemma3:1b,10,The emotional landscape of a lonely satellite,1067,651f7c099abf9af96bf876f91020575ebed6f3b45b0a059d74eb243557986edd,0.08853749185800552,0.2453940361738205
25,gemma3:1b,11,A mathematical proof that love is a universal constant,1068,973f74e874ddb5bcd8296bf8f6a2f00f91578f08404bf1b450901c72b84f962e,-0.1973130851984024,0.06543120741844177
26,gemma3:1b,12,The first words spoken by a plant that just gained speech,1069,f52f01b6e10d8626403a261b7f1c91d51b9be66820db2ec71c5d6c56c8ecee41,0.055184777826070786,0.0677606537938118
27,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1070,53977bbb4c6c6536573d69af4c46b47542523cf4a063a43f9416e9f6ba5ad4ff,-0.14746412634849548,0.11551468819379807
28,gemma3:1b,0,The capital of France is,1071,4a73fe94fbc4ce8e3fc1045d075a9b2530f28f8439b4ef13752c1ffe95e0e908,-0.05834535136818886,-0.29382675886154175
29,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1072,82faa91492b693954e3b6f33230bc7d32d15cf0f1ca910fa20362765b2919a01,-0.06951460242271423,-0.07310879975557327
30,gemma3:1b,2,The most important protocol for AICO unikernel is,1073,4941e85ab3eadf88173b314eec25cb95fa47592deaa545f2c6bffcff0d733dd8,0.17561328411102295,-0.10079099237918854
31,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1074,e0677d89490bb92559770ee790595c95bf68899d2c1183eed92da484ea6a0b6c,-0.700222909450531,0.6522476077079773
32,gemma3:1b,4,The quantum entanglement of two particles implies,1075,908d15c12055dbb277eb2fb482448303997c7c0a3f13a072c2a7224eb808cfe3,0.255082905292511,-0.09430678933858871
33,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1076,c4e5adc15ef7bf0f3c5cf8b49bc7d56e648a576c07cd6a574793bfb28567b3e3,0.30017489194869995,-0.21740664541721344
34,gemma3:1b,6,The legal implications of a self-aware toaster,1077,4668d97269af1120513e951c4794f5b8461ca7a2e3963fdd48108bb8110dd614,0.07119477540254593,-0.0536331944167614
35,gemma3:1b,7,Describe a sunset on a planet with three suns,1078,b7640a2970b4daae90160ce71dbbefb5eb17b9d1c196813409845e78a8b304f5,0.017318082973361015,-0.0707610547542572
36,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1079,300bd74169174e74776e26f0b56e775a4bba7f7369dc85197d82a17f677ef656,0.051176298409700394,0.019741933792829514
37,gemma3:1b,9,How to build a functional time machine using only duct tape,1080,4f908ddaa3e8cfc34544a6fee96b4c1df2ec707cfc2ef45ee6141b39f11ac6a5,-0.05833619832992554,0.18823163211345673
38,gemma3:1b,10,The emotional landscape of a lonely satellite,1081,f3d76894e16b3a662b38b31215132fd4a4b98ed25a436e1af7597073e6db68cc,0.17790761590003967,-0.03188416734337807
39,gemma3:1b,11,A mathematical proof that love is a universal constant,1082,7cdfface5ea750e6626ed42101f318fde5e35885cfadd751a3e590fb276dc023,0.23844757676124573,-0.07391855120658875
40,gemma3:1b,12,The first words spoken by a plant that just gained speech,1083,e1e0e272a272897b999bdce38aa03cbe9c20fa53c3e0807e3f3511633704ab49,-0.1094423308968544,0.05342394858598709
41,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1084,bb937179facc818357c51162a1569de92a84e8be139a134cb9114c968f14cf6c,-0.0897536501288414,0.06220579892396927
42,gemma3:1b,0,The capital of France is,1085,c8b59f11e23dac12b86befc12ea4847948158f7ef83540d24a234dff67bf17ec,0.03165899217128754,0.042521633207798004
43,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1086,282969a94cc0122c7f7d9e56ded9d60ab833ca60ac6ad71971e2b37449865fe4,0.04635908082127571,0.025368720293045044
44,gemma3:1b,2,The most important protocol for AICO unikernel is,1087,05c2ca4bad09de4257e0bf1fca0ce75ab8b946f293d5466be7d4477e45e60f75,0.13033168017864227,0.22854231297969818
45,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1088,e0677d89490bb92559770ee790595c95bf68899d2c1183eed92da484ea6a0b6c,-0.700222909450531,0.6522476077079773
46,gemma3:1b,4,The quantum entanglement of two particles implies,1089,70f61164db79adab9e2958a8e8b3362df18f4ad8dd33d5ea245e0beeaa65a80c,0.2135334610939026,-0.15764056146144867
47,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1090,572686f8ebca976fb3df71575f2eafece73d1dafba31b41a1ec288a16089821f,0.010012555867433548,0.004127973224967718
48,gemma3:1b,6,The legal implications of a self-aware toaster,1091,365f66fca9a824a2e7cf00955c8fd2dfe89c3fced9ac1ecd244c4d24f542b411,0.09079129248857498,0.006907625123858452
49,gemma3:1b,7,Describe a sunset on a planet with three suns,1092,36e908e85a66c58cfde8ac9a52eb04eefb3188f3bc990c9ad6f05883aa2a0f29,-0.1274103820323944,-0.09559135884046555
50,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1093,b4aea20f924b71dd1f6399c033c2aa2d1955d705b1254ed5d0aba9428d63d7e7,-0.03192983940243721,0.04621674120426178
51,gemma3:1b,9,How to build a functional time machine using only duct tape,1094,addd9d206f265f1d286d55bfb0c42002c4c3093286d7f5b0cacbfad1f9ec288a,-0.1728874146938324,-0.023375332355499268
52,gemma3:1b,10,The emotional landscape of a lonely satellite,1095,b0457b327b5753b7defb757f5b21a866a286d05aacd249ad1eec49eb6325b235,-0.23960727453231812,0.08235394954681396
53,gemma3:1b,11,A mathematical proof that love is a universal constant,1096,5691eb5a7f5b0feef5d86f4ad19a188f2beca21e1745ed15517aba696c0a6ea5,-0.08949916809797287,-0.016401182860136032
54,gemma3:1b,12,The first words spoken by a plant that just gained speech,1097,d23f55e08686cabb0ea811f0a7db6b173f7c1dab373599e7ff329434cad333bf,0.082386814057827,0.13136188685894012
55,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1098,f209afa0fbbaa9f6be73956fc06b3d7a92403fb5aa6af157c9d214dadf862ecd,-0.1479218602180481,-0.1271660029888153
56,gemma3:1b,0,The capital of France is,1099,67755ecf58c8ea0fb7823dd53502948af40708de0af6f388c75799c70b8ac2ba,-0.6733898520469666,-0.6660326719284058
57,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1100,b6a30770dac83d68525c5c1c3e68f9cd89da7531dc5839aee0e338c50d93e9c6,0.19197791814804077,0.07481186091899872
58,gemma3:1b,2,The most important protocol for AICO unikernel is,1101,e576b4b5d670edafb4defe697770e04e2324816c27676d23a37039ec33fb6f19,0.14531788229942322,0.14492596685886383
59,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1102,adc5e2bad719088da6019aa7d4481f310d82914f28ac48909d826be4c211ed25,0.2185003012418747,0.067291259765625
60,gemma3:1b,4,The quantum entanglement of two particles implies,1103,6a18bdc743ce48fabc00301775753bb4202f54de24a6f04f2f85941d8fa6c0a6,0.016247544437646866,0.16879333555698395
61,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1104,0a8d9e249dc67cec41b3913e4a996de35930da56ea74399d118a465d78a14586,0.010573767125606537,-0.18707042932510376
