trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,llama3:latest,0,The capital of France is,2043,3acefbef1752341c3caa514b396da66e02ce047341f46ac687859b696e640aca,-0.9307171106338501,-0.013664734549820423
1,llama3:latest,1,"In a futuristic city where data is currency, a rogue hacker",2044,51528fefc44f10e77c09521724b1bf1867d1636e3d89d88490a0718f2930be7d,0.12047597020864487,0.09678211808204651
2,llama3:latest,2,The most important protocol for AICO unikernel is,2045,35f8eda9e3601692f9242256cc4d2bc4266a9378965cd94fe60ec7213c9d19d9,0.13319332897663116,0.05502971634268761
3,llama3:latest,3,Why did the chicken cross the Moebius strip?,2046,8e95e3f87a94863d87746843c6e8229ba0e254629811f4d6c52fdd944f8892df,0.1504291296005249,0.12562966346740723
4,llama3:latest,4,The quantum entanglement of two particles implies,2047,d46b3cdbc5194c7022c4e7593dd124891d4aa872e811ee6159d9ed896fbc9f8c,0.06744708120822906,0.04440637677907944
5,llama3:latest,5,A recipe for a cake that tastes like a rainy afternoon,2048,65133b735fef2d1cdd1f29cf5676367400601db6e6588d31f645ec3e32268e15,0.30487701296806335,0.1912633776664734
6,llama3:latest,6,The legal implications of a self-aware toaster,2049,21ae06f00d02a40fb4f948859bce2337dca997f413e4819b5acd7a4d875ed965,0.062336649745702744,-0.1703711450099945
7,llama3:latest,7,Describe a sunset on a planet with three suns,2050,a271af1b88bb27e7b254955e07fc5ecad2d51d3336da7840d310c091bca64f11,-0.07456812262535095,0.21052947640419006
8,llama3:latest,8,The recursive nature of a mirror reflecting another mirror,2051,679b4db73549709c88fbff319f742cb49c3ab6ee12062f4b983abe513ff237dd,-0.0880197137594223,-0.05617525801062584
9,llama3:latest,9,How to build a functional time machine using only duct tape,2052,8b0326425eb92945f1a6b760df49743c2d86fd73f22571eba72725bbb07e3d0d,-0.05112594738602638,0.2520713806152344
10,llama3:latest,10,The emotional landscape of a lonely satellite,2053,23e69bfbea6c08ee1b677c7f5775294506746472d0c383769560bb8b19cec9ce,0.03736657276749611,-0.26244455575942993
11,llama3:latest,11,A mathematical proof that love is a universal constant,2054,504e992e1950e50119bee386c228e937e293c5cd81c34abe7c17c3a306c4285e,0.13751815259456635,-0.08936714380979538
12,llama3:latest,12,The first words spoken by a plant that just gained speech,2055,0314bef796d68a972206d2eaeb3afd2e88cc175b9fccd7c1e70dc80e8b97e1ba,0.19132950901985168,-0.2518947720527649
13,llama3:latest,13,An architectural plan for a city built inside a giant tree,2056,629bf4533090b9b7760fb851f157c3355777b68e2a8bc507a11d93ce8f98501f,0.16377204656600952,-0.2170487493276596
14,llama3:latest,0,The capital of France is,2057,3acefbef1752341c3caa514b396da66e02ce047341f46ac687859b696e640aca,-0.9307171106338501,-0.013664734549820423
15,llama3:latest,1,"In a futuristic city where data is currency, a rogue hacker",2058,370acc7534a72ba9ef92ed63db2199648019f1a2021b678f19482ce5dc920417,0.04940188303589821,0.3310946226119995
16,llama3:latest,2,The most important protocol for AICO unikernel is,2059,f8ec1b05f7eccd1624a48ab2b0decba2553d55a1174947c6271ebfc898de8414,0.22425533831119537,-0.09317928552627563
17,llama3:latest,3,Why did the chicken cross the Moebius strip?,2060,79aeff8e713a8b326aa93b1211398df18b7cc3bcd2928ca369165fd3d128796c,0.022380491718649864,-0.009592534974217415
18,llama3:latest,4,The quantum entanglement of two particles implies,2061,0f46e23161494e5cf8676349d69c8475c02fd9c925b8015b9e87ff20ecb5782f,0.2524438202381134,-0.1839796006679535
