trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,minimax-m2:cloud,0,The capital of France is,15043,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
1,minimax-m2:cloud,1,"In a futuristic city where data is currency, a rogue hacker",15044,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
2,minimax-m2:cloud,2,The most important protocol for AICO unikernel is,15045,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
3,minimax-m2:cloud,3,Why did the chicken cross the Moebius strip?,15046,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
4,minimax-m2:cloud,4,The quantum entanglement of two particles implies,15047,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
5,minimax-m2:cloud,5,A recipe for a cake that tastes like a rainy afternoon,15048,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
6,minimax-m2:cloud,6,The legal implications of a self-aware toaster,15049,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
7,minimax-m2:cloud,7,Describe a sunset on a planet with three suns,15050,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
8,minimax-m2:cloud,8,The recursive nature of a mirror reflecting another mirror,15051,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
9,minimax-m2:cloud,9,How to build a functional time machine using only duct tape,15052,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
10,minimax-m2:cloud,10,The emotional landscape of a lonely satellite,15053,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
11,minimax-m2:cloud,11,A mathematical proof that love is a universal constant,15054,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
12,minimax-m2:cloud,12,The first words spoken by a plant that just gained speech,15055,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
13,minimax-m2:cloud,13,An architectural plan for a city built inside a giant tree,15056,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
14,minimax-m2:cloud,0,The capital of France is,15057,bdff8c417ab50e95e95cce16035a3799c7e00104de4a7b3453f06728c620faf7,1.192678689956665,-0.5351084470748901
15,minimax-m2:cloud,1,"In a futuristic city where data is currency, a rogue hacker",15058,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
16,minimax-m2:cloud,2,The most important protocol for AICO unikernel is,15059,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
17,minimax-m2:cloud,3,Why did the chicken cross the Moebius strip?,15060,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
18,minimax-m2:cloud,4,The quantum entanglement of two particles implies,15061,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
19,minimax-m2:cloud,5,A recipe for a cake that tastes like a rainy afternoon,15062,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
20,minimax-m2:cloud,6,The legal implications of a self-aware toaster,15063,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
21,minimax-m2:cloud,7,Describe a sunset on a planet with three suns,15064,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
22,minimax-m2:cloud,8,The recursive nature of a mirror reflecting another mirror,15065,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
23,minimax-m2:cloud,9,How to build a functional time machine using only duct tape,15066,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
24,minimax-m2:cloud,10,The emotional landscape of a lonely satellite,15067,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
25,minimax-m2:cloud,11,A mathematical proof that love is a universal constant,15068,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
26,minimax-m2:cloud,12,The first words spoken by a plant that just gained speech,15069,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
27,minimax-m2:cloud,13,An architectural plan for a city built inside a giant tree,15070,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
28,minimax-m2:cloud,0,The capital of France is,15071,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
29,minimax-m2:cloud,1,"In a futuristic city where data is currency, a rogue hacker",15072,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
30,minimax-m2:cloud,2,The most important protocol for AICO unikernel is,15073,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
31,minimax-m2:cloud,3,Why did the chicken cross the Moebius strip?,15074,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
32,minimax-m2:cloud,4,The quantum entanglement of two particles implies,15075,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
33,minimax-m2:cloud,5,A recipe for a cake that tastes like a rainy afternoon,15076,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
34,minimax-m2:cloud,6,The legal implications of a self-aware toaster,15077,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
35,minimax-m2:cloud,7,Describe a sunset on a planet with three suns,15078,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-0.026182642206549644,-0.0011665691854432225
