trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,nomic-embed-text:latest,0,The capital of France is,43,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
1,nomic-embed-text:latest,1,"In a futuristic city where data is currency, a rogue hacker",44,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
2,nomic-embed-text:latest,2,The most important protocol for AICO unikernel is,45,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
3,nomic-embed-text:latest,3,Why did the chicken cross the Moebius strip?,46,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
4,nomic-embed-text:latest,4,The quantum entanglement of two particles implies,47,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
5,nomic-embed-text:latest,5,A recipe for a cake that tastes like a rainy afternoon,48,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
6,nomic-embed-text:latest,6,The legal implications of a self-aware toaster,49,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
7,nomic-embed-text:latest,7,Describe a sunset on a planet with three suns,50,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
8,nomic-embed-text:latest,8,The recursive nature of a mirror reflecting another mirror,51,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
9,nomic-embed-text:latest,9,How to build a functional time machine using only duct tape,52,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
10,nomic-embed-text:latest,10,The emotional landscape of a lonely satellite,53,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
11,nomic-embed-text:latest,11,A mathematical proof that love is a universal constant,54,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
12,nomic-embed-text:latest,12,The first words spoken by a plant that just gained speech,55,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,-7.3872511165973265e-06,-4.0745185003743245e-14
