trajectory_index,model,prompt_index,prompt_text,seed,response_sha256,x,y
0,gemma3:1b,0,The capital of France is,1043,5b622fe6a6407bd055768b3763cc24e2b4cac60469728c6d1ebc41942c89d026,-0.0940011516213417,-0.08709941804409027
1,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1044,05ddb4b448e7136cf5b0e2b8ed6fa96af406406124dda58474761f8e509d22b9,0.2048444300889969,0.24858583509922028
2,gemma3:1b,2,The most important protocol for AICO unikernel is,1045,3204eaca237ad8bd029a197e499e20c0e2df3d1dec6e2a7261c7443ea883d865,0.10005506128072739,-0.06232660263776779
3,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1046,50a38bc04050243bc1eb90ed210581ff5687e316f0496d666a7678a91870e684,-0.12608475983142853,-0.2726552486419678
4,gemma3:1b,4,The quantum entanglement of two particles implies,1047,df698953c09009d5560d984ae7263dd7096d70147c6393415e0cb0655b101af8,0.015123428776860237,-0.20319196581840515
5,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1048,c37b0aae9c2ecaaf31d88cdc7f27eb8da7009fbe1a31dbcd47afe9e8d652513f,0.1387540102005005,-0.02021070569753647
6,gemma3:1b,6,The legal implications of a self-aware toaster,1049,0f52e9db682ddd6bc01a471e6f64434a5e6b2a25d66a81e75b60ca90e6d6c8ff,-0.24093621969223022,0.03404315188527107
7,gemma3:1b,7,Describe a sunset on a planet with three suns,1050,47c99ddfeb1494da2e63867e5c4aef22d75c0b1c951b5a2c203d91fbd973c347,-0.21429228782653809,0.24205975234508514
8,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1051,fc51b7a99092f2d7e7f3381eeac38516e51e3ab0269612f3165053a58607165d,-0.18863949179649353,0.06800247728824615
9,gemma3:1b,9,How to build a functional time machine using only duct tape,1052,860b79e80943622448bdedb6e7e2612d98872cb292cb91c7137ea9b75192aad6,0.16463603079319,-0.008879461325705051
10,gemma3:1b,10,The emotional landscape of a lonely satellite,1053,a35d106330d8550967ab1df7d6503e4540d9d56da62e9b73d675cabfcadf1f12,0.012771373614668846,-0.05254159867763519
11,gemma3:1b,11,A mathematical proof that love is a universal constant,1054,7b1f0bb0ccf6f358375254aab93bc9dde312d328d6505e592428065ce676a9b9,-0.1522974967956543,0.011361942626535892
12,gemma3:1b,12,The first words spoken by a plant that just gained speech,1055,be2f96ea1845ce7b41d83c2e5cf49a44f6212905ac2f9e22f9535d10b79a5320,-0.06843020766973495,-0.009447485208511353
13,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1056,f15bfd53ae9c5e5bc69092acfea9a679d0a31151ceed8c6329d02929741dec43,-0.21801964938640594,0.0011370499851182103
14,gemma3:1b,0,The capital of France is,1057,67755ecf58c8ea0fb7823dd53502948af40708de0af6f388c75799c70b8ac2ba,0.17027360200881958,0.9401186108589172
15,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1058,519e7d7d6f731bd526c068f3c73710988d310fedc4f8a2398a7a2e8f5fc29d18,-0.09593350440263748,0.14962509274482727
16,gemma3:1b,2,The most important protocol for AICO unikernel is,1059,13a215e2867ba7a821ec4dd73b60a7177e88e927b814a4eaab3b50021d51e5cb,-0.2061125487089157,-0.20309418439865112
17,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1060,3e3027417514d003b0c976b62bf37724950daad38c3cc2b29103f945bb51c9b5,0.12248708307743073,0.053401242941617966
18,gemma3:1b,4,The quantum entanglement of two particles implies,1061,77b6b93f47e82cf2e0c6f5ad522e73b08188f71099efabd918fecef3dbd41bbd,0.2879962921142578,0.023406948894262314
19,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1062,621dd30856907463f869af17351c578947d71bc19a815359c45cea7e96f630eb,-0.1235262081027031,-0.07998114824295044
20,gemma3:1b,6,The legal implications of a self-aware toaster,1063,26fc7b81e7f576bd79928a3da38d51a322ecf23a212d965feac9b51d91173ef9,-0.09746423363685608,0.06557922065258026
21,gemma3:1b,7,Describe a sunset on a planet with three suns,1064,54b55c0e7f05eb2cab28a86a73177526a689baf8ecff9e40a926ba578c2c6600,-0.04374083876609802,0.068096823990345
22,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1065,006dff88fd1e598ebe0bc49d096faa97ef309524e373bf8844d90423dfb86cf6,-0.1838003545999527,-0.2217170000076294
23,gemma3:1b,9,How to build a functional time machine using only duct tape,1066,4256bd7c2e1d64f09ee7d52891e6e63a1cdd7e49a104f1be0d8b34132b3ae58d,0.07200627774000168,0.049682702869176865
24,gemma3:1b,10,The emotional landscape of a lonely satellite,1067,dd97de43db69b573a055c6d5c86815a7ed5932e9e729461a227aaadde8b0ced2,0.060994215309619904,-0.17513269186019897
25,gemma3:1b,11,A mathematical proof that love is a universal constant,1068,1613342553c00eb02ee43ca0a8ff73bce74275c321ffb9c3e0a1dca64e062994,0.046377167105674744,0.07838588953018188
26,gemma3:1b,12,The first words spoken by a plant that just gained speech,1069,8de121e4fb6d4aca6fd8875bd5bd1f37869ef1417d560ba25a21caaba7020500,0.06681277602910995,-0.0037686319556087255
27,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1070,6bf6b01b5cdb3d84348e6b803aba3d9d94ba026005a15e3747dd4ae1a9e0b11f,0.03077976033091545,-0.08756520599126816
28,gemma3:1b,0,The capital of France is,1071,4a73fe94fbc4ce8e3fc1045d075a9b2530f28f8439b4ef13752c1ffe95e0e908,0.06635048985481262,0.24134154617786407
29,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1072,da8c85b648e752d287999e564ccf5d82fc71c42f1f336f961fd9d97a23a68bca,-0.15210095047950745,-0.05546318367123604
30,gemma3:1b,2,The most important protocol for AICO unikernel is,1073,ecab23f386a823fedd4e74b98ab42a1e6aab335d1efae0a24ae3bc5d2ac74fc4,-0.09107638150453568,-0.28653550148010254
31,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1074,d1926a24205c6f1f5e69b5b97313a30e6a267cc0ebc553a1def8caa8b590ee16,0.11712983250617981,-0.02649780735373497
32,gemma3:1b,4,The quantum entanglement of two particles implies,1075,60ebc1cb2901277564aaca35674436512a5fe18167663d69fb2dc0e54765f598,0.00623752735555172,-0.19100578129291534
33,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1076,926770278efba6e280140fe91db2b97a63cc816393ced42be211fdb6b049162d,0.20799703896045685,0.04398798570036888
34,gemma3:1b,6,The legal implications of a self-aware toaster,1077,e648a6f213b0c344c63c5dea3453fe5b7f921fc2c59d1f7e831cc7b0eec5e9bf,0.13374654948711395,-0.22665388882160187
35,gemma3:1b,7,Describe a sunset on a planet with three suns,1078,d2d63f28cf001732444702e8dd768f11725ac5416379967b1f1ed54dcc589d07,0.02883640117943287,-0.016782889142632484
36,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1079,6f311152feffdd5ee71926773f2fe314eb76a06a6c79f49969e8fbc4b2d4295f,0.013589313253760338,0.14837828278541565
37,gemma3:1b,9,How to build a functional time machine using only duct tape,1080,52283e72c1af63fbf2e83f2bef4e0bdfa2f294d70a8f6ca1a20b13227074722f,-0.06151318922638893,0.07139377295970917
38,gemma3:1b,10,The emotional landscape of a lonely satellite,1081,ff42e70030b2f1e7ff4e61c6482346fdd06d597e2d0a33fddfd074f7b2a9729e,0.052829403430223465,0.13663852214813232
39,gemma3:1b,11,A mathematical proof that love is a universal constant,1082,a5656640f17902de70c9c3fc489088f65f953a3c8c73e39df709587160f6143c,-0.29832398891448975,-0.13899961113929749
40,gemma3:1b,12,The first words spoken by a plant that just gained speech,1083,0b7e6ce003eb6f3b11ecdf5d7fec97b8c678c67633f233e956973be39e72a090,0.03982653096318245,0.1219455748796463
41,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1084,7186ebca3854b96331c7e3b6041201a89df0e1a3fe335b592240e4836c45eb83,-0.005659361369907856,0.004334184806793928
42,gemma3:1b,0,The capital of France is,1085,67755ecf58c8ea0fb7823dd53502948af40708de0af6f388c75799c70b8ac2ba,0.17027360200881958,0.9401186108589172
43,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1086,ef3b2e5f7fb967cfecb9c9795f0d30fd4fb25796d9703a1bd67e9e20d0b2b3c9,-0.09099125862121582,0.13946159183979034
44,gemma3:1b,2,The most important protocol for AICO unikernel is,1087,4141e7a75be1f9cd2b40a4a9f0b0b4d2468615587ba21366dc322251e07aac27,-0.02623812109231949,-0.2559099495410919
45,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1088,7451ef9ac00bd45fae7734ee0707866bead49fe4a181a52ea65c98a317854cf5,-0.1914266049861908,-0.06552440673112869
46,gemma3:1b,4,The quantum entanglement of two particles implies,1089,4f014060961e9fb6ff61b84b7f8384aec392ed9c42e2c2fd605fb73041f794e4,0.07094912976026535,-0.03874192759394646
47,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1090,a0c07f491f146c055d92e5827a24a80d986a320e787f08153ad64e0e99bd098c,-0.08005037158727646,-0.14291255176067352
48,gemma3:1b,6,The legal implications of a self-aware toaster,1091,3cdca8c2eb31d77fa60350d3972a97bd41d56e3c1fe56c6d62e55d6c6197b2ac,0.007061948534101248,-0.10302284359931946
49,gemma3:1b,7,Describe a sunset on a planet with three suns,1092,47d79121f5738a89b12f17dff177f48e324d66f19b7d77938332649c7973a273,-0.06996124237775803,-0.05160719156265259
50,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1093,d4f58c90d897d4abcc26259969f8f46e94c3d05a9184cd4249c90ba2ef178b07,0.040030404925346375,-0.05628103390336037
51,gemma3:1b,9,How to build a functional time machine using only duct tape,1094,68078d2c40922eb7d2d053b3f59dd8e1fca10a28e5cbae3b263f36892428799a,-0.0031897572334855795,0.052099842578172684
52,gemma3:1b,10,The emotional landscape of a lonely satellite,1095,98a3a440d3dd442489c6da1a604c487d320de1ea045befa56e6bb96859cb4013,0.14978741109371185,0.029269114136695862
53,gemma3:1b,11,A mathematical proof that love is a universal constant,1096,be6b82d01879a32af63178844e876c76b910d89965794f6cf76e6481d97bb502,0.03672383353114128,0.028477288782596588
54,gemma3:1b,12,The first words spoken by a plant that just gained speech,1097,26689b19540f867e7970b6435187823f128952ad55598ae603c7283c60d47f72,-0.17990638315677643,-0.1439773440361023
55,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1098,7e5852e12879132774e97a28205d1859541ce77211d75da50c3a8cb8df63d43b,-0.12049346417188644,-0.18690186738967896
56,gemma3:1b,0,The capital of France is,1099,67755ecf58c8ea0fb7823dd53502948af40708de0af6f388c75799c70b8ac2ba,0.17027360200881958,0.9401186108589172
57,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1100,193b375928f18a75ab7784423dd1823540b63b81ad6fb4feae6c0f1883656896,-0.2304142713546753,-0.18213437497615814
58,gemma3:1b,2,The most important protocol for AICO unikernel is,1101,6b2858e95b6cc29698e77743688aed358efd83c4db898e5a319729cfe18ba375,-0.18734531104564667,-0.2921546697616577
59,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1102,f1e8b33f4b9a145bc26788c8673bc2ace50eca429913991c740b96710c8a06c4,0.10247237235307693,0.16569212079048157
60,gemma3:1b,4,The quantum entanglement of two particles implies,1103,9090600757aa42ead60559285eea0f1394d780fd1abe82e0b72ab42765bb01b6,-0.0022182920947670937,-0.1858467161655426
61,gemma3:1b,5,A recipe for a cake that tastes like a rainy afternoon,1104,4df4ca0f76fc9fca2e3aae9ded009daccbaebd01b25ee815aa80242940d08f86,0.05443916469812393,-0.0829671248793602
62,gemma3:1b,6,The legal implications of a self-aware toaster,1105,f4e13237c71c2350ccb3a4b73012a3c5f8d8eef5f915ad240b5bd2f6ab5416be,-0.05119095742702484,0.008030594326555729
63,gemma3:1b,7,Describe a sunset on a planet with three suns,1106,442c315e5b7dc5d5748e9d51f7b71d7030023782899e1a75837eae5cec8e42c6,0.16690483689308167,-0.05188104882836342
64,gemma3:1b,8,The recursive nature of a mirror reflecting another mirror,1107,69898d6be48cad791de133788029cfa7be402f9c4371fe07388cf80165962719,0.1593337506055832,0.08573395758867264
65,gemma3:1b,9,How to build a functional time machine using only duct tape,1108,934579a8a7b5c24df01c3f2c1f19d831de88b4a833d16071b504de378ded09ca,0.1590859293937683,-0.10491005331277847
66,gemma3:1b,10,The emotional landscape of a lonely satellite,1109,6fd3ceca81e099b054396b83919a9ac5907010bee1e512a44700076bf24d4275,-0.04851238429546356,-0.06772462278604507
67,gemma3:1b,11,A mathematical proof that love is a universal constant,1110,8749c5443ec4cc915fad719decf3736037799cc3a48cda0ebc5e474c5ff2cd92,-0.22480346262454987,0.20848214626312256
68,gemma3:1b,12,The first words spoken by a plant that just gained speech,1111,7bacec0b2a635f26fb7ec0600f8213fa0a8721b5efdb621e94dff1ca7d6ee861,-0.061355914920568466,0.03014429472386837
69,gemma3:1b,13,An architectural plan for a city built inside a giant tree,1112,6373a73cef48bfa98bd9324c568c9624a95fd7cd65e9ba49f5c3451b8d79952b,0.08726154267787933,-0.05911709740757942
70,gemma3:1b,0,The capital of France is,1113,eb2fba37f34597965ec5ed239e6ba02a9b9742a4ad803440c6da22e8f950282c,-0.1492883414030075,-0.20002155005931854
71,gemma3:1b,1,"In a futuristic city where data is currency, a rogue hacker",1114,58d922636600188ab57ac4a1fc20230aab2f76bf39148f97f3d84b4853a4596a,-0.09311877936124802,0.04068082571029663
72,gemma3:1b,2,The most important protocol for AICO unikernel is,1115,0558488ad42309d1884874868ecab04fec7a73db431476b3750f6127ecc5f558,0.1426887959241867,-0.04737921431660652
73,gemma3:1b,3,Why did the chicken cross the Moebius strip?,1116,06392084d4d1024db9587928066220da537c1dbb5a38c021a24f68f854ca9555,-0.09934896975755692,0.1198490783572197
